Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2011-05-31,Canberra,8.6,17.9,0.0,2.0,8.6,ESE,46.0,S,SE,15.0,22.0,73.0,59.0,1025.0,1023.8,5.0,2.0,13.0,15.0,No,No
2010-07-08,SydneyAirport,7.7,14.6,0.2,2.6,2.3,S,48.0,S,SSW,33.0,22.0,77.0,99.0,1026.8,1025.6,3.0,7.0,13.9,12.4,No,Yes
2014-08-10,Perth,12.4,24.0,0.0,3.2,5.4,E,30.0,ESE,E,13.0,11.0,70.0,50.0,1027.0,1023.2,6.0,6.0,14.7,22.3,No,No
2014-07-08,Moree,-0.8,18.0,0.0,3.2,9.9,ENE,19.0,NE,N,13.0,6.0,68.0,23.0,1019.4,1014.5,0.0,0.0,7.5,17.0,No,No
2015-08-15,Hobart,2.2,14.2,1.0,1.6,9.1,NNW,33.0,NNW,NW,24.0,19.0,77.0,38.0,1031.3,1026.6,0.0,3.0,4.3,14.1,No,No
2012-04-05,CoffsHarbour,15.4,25.6,0.0,3.2,9.5,S,28.0,SW,SE,17.0,17.0,66.0,56.0,1020.6,1018.4,2.0,2.0,23.2,24.6,No,No
2010-05-06,Mildura,7.1,21.0,0.0,2.6,9.1,W,26.0,W,WSW,15.0,13.0,77.0,42.0,1024.9,1022.6,1.0,3.0,12.0,20.4,No,No
2016-12-25,Darwin,25.6,33.2,0.6,3.0,8.1,NNW,39.0,N,N,11.0,22.0,81.0,66.0,1008.5,1004.7,6.0,5.0,29.4,32.5,No,No
2010-08-09,CoffsHarbour,5.4,20.8,0.0,2.2,10.3,NE,39.0,SW,NE,9.0,26.0,78.0,61.0,1023.6,1020.6,0.0,1.0,14.5,20.2,No,Yes
2012-02-16,Cairns,24.6,31.4,0.8,8.8,8.5,ESE,48.0,SSE,SE,17.0,28.0,78.0,59.0,1011.9,1009.4,7.0,7.0,27.5,30.8,No,Yes
2011-12-31,Perth,20.3,29.6,0.0,7.4,11.2,WSW,31.0,SSE,WSW,9.0,17.0,62.0,58.0,1006.0,1004.9,7.0,2.0,26.3,27.3,No,No
2012-01-10,Nuriootpa,13.5,21.4,1.0,5.6,9.3,W,46.0,SW,W,15.0,26.0,85.0,47.0,1016.7,1015.5,7.0,6.0,15.1,19.8,No,No
2008-12-26,Townsville,25.1,32.4,0.0,9.6,11.6,NE,37.0,ESE,ENE,20.0,30.0,60.0,58.0,1010.3,1008.7,7.0,4.0,29.8,30.8,No,No
2011-03-22,MelbourneAirport,17.5,23.5,0.0,2.2,1.0,SW,30.0,W,SW,7.0,15.0,88.0,68.0,1002.5,1001.6,7.0,7.0,19.0,22.5,No,No
2014-01-09,WaggaWagga,17.0,27.5,0.0,11.2,4.0,E,63.0,ENE,N,28.0,19.0,47.0,36.0,1020.7,1019.2,7.0,7.0,19.7,25.7,No,No
2009-10-14,Townsville,23.3,31.8,0.0,8.0,11.2,NW,33.0,NNW,N,20.0,19.0,59.0,44.0,1014.5,1009.8,2.0,1.0,27.0,29.8,No,No
2017-02-23,Brisbane,21.0,31.0,0.0,9.8,11.8,E,33.0,SE,ESE,13.0,13.0,45.0,47.0,1019.4,1016.8,5.0,2.0,27.1,29.3,No,No
2013-08-28,CoffsHarbour,7.9,25.0,0.0,2.8,10.2,SSW,35.0,WSW,S,2.0,20.0,52.0,47.0,1020.7,1019.1,1.0,1.0,19.5,22.0,No,No
2015-09-03,Darwin,21.7,32.2,0.0,8.0,10.8,NW,31.0,NNE,WNW,6.0,20.0,65.0,45.0,1016.7,1013.2,0.0,1.0,28.0,31.5,No,No
