Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
5/31/2011,Canberra,8.6,17.9,0,2,8.6,ESE,46,S,SE,15,22,73,59,1025,1023.8,5,2,13,15,No,No
7/8/2010,SydneyAirport,7.7,14.6,0.2,2.6,2.3,S,48,S,SSW,33,22,77,99,1026.8,1025.6,3,7,13.9,12.4,No,Yes
8/10/2014,Perth,12.4,24,0,3.2,5.4,E,30,ESE,E,13,11,70,50,1027,1023.2,6,6,14.7,22.3,No,No
7/8/2014,Moree,-0.8,18,0,3.2,9.9,ENE,19,NE,N,13,6,68,23,1019.4,1014.5,0,0,7.5,17,No,No
8/15/2015,Hobart,2.2,14.2,1,1.6,9.1,NNW,33,NNW,NW,24,19,77,38,1031.3,1026.6,0,3,4.3,14.1,No,No
4/5/2012,CoffsHarbour,15.4,25.6,0,3.2,9.5,S,28,SW,SE,17,17,66,56,1020.6,1018.4,2,2,23.2,24.6,No,No
5/6/2010,Mildura,7.1,21,0,2.6,9.1,W,26,W,WSW,15,13,77,42,1024.9,1022.6,1,3,12,20.4,No,No
12/25/2016,Darwin,25.6,33.2,0.6,3,8.1,NNW,39,N,N,11,22,81,66,1008.5,1004.7,6,5,29.4,32.5,No,No
8/9/2010,CoffsHarbour,5.4,20.8,0,2.2,10.3,NE,39,SW,NE,9,26,78,61,1023.6,1020.6,0,1,14.5,20.2,No,Yes
2/16/2012,Cairns,24.6,31.4,0.8,8.8,8.5,ESE,48,SSE,SE,17,28,78,59,1011.9,1009.4,7,7,27.5,30.8,No,Yes
12/31/2011,Perth,20.3,29.6,0,7.4,11.2,WSW,31,SSE,WSW,9,17,62,58,1006,1004.9,7,2,26.3,27.3,No,No
1/10/2012,Nuriootpa,13.5,21.4,1,5.6,9.3,W,46,SW,W,15,26,85,47,1016.7,1015.5,7,6,15.1,19.8,No,No
12/26/2008,Townsville,25.1,32.4,0,9.6,11.6,NE,37,ESE,ENE,20,30,60,58,1010.3,1008.7,7,4,29.8,30.8,No,No
3/22/2011,MelbourneAirport,17.5,23.5,0,2.2,1,SW,30,W,SW,7,15,88,68,1002.5,1001.6,7,7,19,22.5,No,No
1/9/2014,WaggaWagga,17,27.5,0,11.2,4,E,63,ENE,N,28,19,47,36,1020.7,1019.2,7,7,19.7,25.7,No,No
10/14/2009,Townsville,23.3,31.8,0,8,11.2,NW,33,NNW,N,20,19,59,44,1014.5,1009.8,2,1,27,29.8,No,No
2/23/2017,Brisbane,21,31,0,9.8,11.8,E,33,SE,ESE,13,13,45,47,1019.4,1016.8,5,2,27.1,29.3,No,No
8/28/2013,CoffsHarbour,7.9,25,0,2.8,10.2,SSW,35,WSW,S,2,20,52,47,1020.7,1019.1,1,1,19.5,22,No,No
9/3/2015,Darwin,21.7,32.2,0,8,10.8,NW,31,NNE,WNW,6,20,65,45,1016.7,1013.2,0,1,28,31.5,No,No
12/8/2009,PerthAirport,13.2,28.3,0,10,12.7,E,52,ESE,WSW,19,30,41,30,1021.1,1016.7,5,5,19.7,26.7,No,No
3/28/2010,Perth,14.5,25.3,0,6,11,SW,39,SE,SW,15,20,55,47,1020.7,1017.9,1,1,18.9,23.4,No,No
8/1/2015,Darwin,20.9,31.8,0,8,11.1,ENE,35,E,NNW,15,24,69,37,1016.1,1012.5,0,1,25.1,29.5,No,No
1/31/2009,CoffsHarbour,20.7,28.7,0,5.8,10.4,ENE,33,NNW,ENE,7,24,69,55,1019.1,1016.9,6,3,25.5,28.1,No,No
9/13/2010,Melbourne,10.9,15.5,0,2.2,2,N,35,NW,SSW,13,19,55,56,1015.1,1015.7,8,7,13.7,14.1,No,No
5/3/2015,Townsville,19.7,30.9,0,5.6,9.6,ENE,31,E,N,4,19,72,50,1014.9,1010.3,1,4,25.7,29.3,No,No
10/5/2013,Watsonia,11.7,24,0,7.4,5.8,NNE,57,NE,N,15,26,43,36,1011.8,1007.3,7,1,16.9,23.3,No,No
1/24/2014,Nuriootpa,16.3,25.8,1,6.8,7.1,SW,39,W,WSW,11,17,91,57,1013,1012.6,8,6,16.3,23.2,No,No
3/18/2011,Woomera,20.7,21.1,0.2,13,1.2,E,44,ESE,ESE,26,33,63,81,1013,1009.6,7,8,21,19.4,No,Yes
7/18/2010,Darwin,21.2,32.7,0,7.2,11.1,E,39,E,NE,20,20,53,36,1014.8,1011.2,0,1,24.8,31.8,No,No
9/21/2012,MelbourneAirport,11.8,19,0.2,4.2,7.4,SW,52,W,SW,26,35,69,60,1014.3,1016,6,7,15.5,17.5,No,No
4/12/2017,PerthAirport,7.2,24.8,0,5.2,9.7,WSW,43,ENE,WSW,17,28,62,44,1021.6,1019.7,6,1,17.6,23.6,No,No
11/9/2015,Townsville,25.8,31.8,0,12.4,8.7,E,56,NE,NNE,24,22,63,64,1011.6,1007.6,6,5,29.4,28.6,No,Yes
11/29/2015,Darwin,25.8,34.8,0,5,11,WNW,35,W,WNW,7,26,71,56,1011.4,1007.3,4,6,31.1,34.5,No,No
12/2/2008,Melbourne,10.7,23.1,0,6.8,7.5,WNW,46,WNW,W,30,17,44,29,1009.9,1007.2,6,7,17,22,No,No
6/12/2009,MelbourneAirport,1.4,10.3,0,0.4,4.7,N,61,N,NNE,31,30,75,68,1022.3,1019.1,6,7,5.9,9,No,No
12/3/2013,Brisbane,15.2,27.8,0,8,13,E,28,S,ENE,6,11,47,52,1016.9,1013.3,2,2,24.4,25.8,No,No
9/24/2015,WaggaWagga,-0.3,17.1,0,4.4,9,SSW,37,S,SSW,11,20,53,40,1030.2,1026.4,1,4,9.5,15.3,No,No
6/26/2015,Brisbane,12.6,22.7,0.2,2.2,6.8,SSE,31,SSW,SE,6,11,73,60,1026.2,1025.1,2,3,17.8,21.3,No,No
1/9/2017,Darwin,28.2,32.4,0,8,9.6,NW,37,WNW,WNW,19,24,73,67,1004.6,1001.8,7,7,29.8,31.9,No,No
5/19/2009,MountGambier,4.9,16.8,0,0.4,7,NE,22,ESE,ENE,9,11,89,70,1019.7,1017.6,6,7,9.5,16.4,No,No
11/2/2009,Sale,12.4,25.8,0,5.2,8,E,33,N,SW,7,11,72,46,1021.5,1017.6,5,6,17.1,25.1,No,No
2/26/2014,Darwin,26.2,31.6,1,8,7.1,NW,44,WNW,WNW,22,31,71,67,1010.1,1006.7,3,7,29.5,31,No,Yes
8/27/2008,Brisbane,11,23,0.2,3.2,5.4,WNW,19,ESE,WNW,2,7,68,58,1024.1,1021.3,7,7,17.9,20.6,No,No
